0.0,1.2253665513961351e8,1.23447982380205e8,1.2726090396453355e8
25.0,1.985059659640433e8,1.8851159765819126e8,2.1647638382617393e8
50.0,3.444949228198072e8,5.636823901617526e8,1.5252056532763207e8
75.0,9.750484332732946e8,8.325252428031017e8,9.348083705834057e8
100.0,7.038290141771983e8,1.0211836640843251e9,2.557187710082305e9
125.0,2.703743939278222e9,2.2277953714810543e9,2.842249296955504e9
150.0,2.0229496944868686e9,2.5113990277612386e9,2.2110430534807286e9
175.0,1.9375918270935686e9,1.836928567002014e9,3.785741418957071e9
200.0,9.953062517993581e8,4.487676899120865e9,2.6932380477090235e9
225.0,3.678234528666739e9,2.7808710634577665e9,2.7297245638184967e9
250.0,2.7690196065751233e9,1.361298048067914e9,1.9259692897060041e9
