0.0,1078.962276780152,1478.82470790678,578.8681534579831
1.0,1041.367868732067,1142.870070323028,780.7353087241046
2.5,1381.7812810225294,1234.3587058584844,1839.6713690796835
3.5,4694.1660133932455,7369.332762243288,4203.509834823919
5.0,80250.86572054421,103963.95072435694,133686.83667920975
6.0,2.5621033341459483e6,1.6801062401096884e6,1.0121093940961857e6
7.0,6.163541766479692e7,3.274635755630774e7,4.009016139459549e7
8.5,5.0640127866513405e9,8.999816323483673e9,1.3555190435295685e10
9.5,1.8755995287904766e10,1.8004453516010788e10,1.51820316963254e10
11.0,4.813295966799297e9,1.4709600455649769e10,1.7909001514040535e10
12.0,2.5606980280350872e10,1.7084181488477316e10,1.6750741814241554e10
