0.29981221265297364, 2499887791.940476
9.99740982969631, 2503480949.062727
20.000647542575933, 2522090298.3536706
30.001295085151853, 2525828735.082247
40.00453279803149, 2544604204.1737423
50.30304992553262, 2518470431.894588
60.00323771287964, 2537077326.5309467
70.00129508515188, 2525828735.0822573
79.71184355371368, 2605511759.5109434
89.7487534805414, 2835040853.1519594
100.11720520624233, 6585350457.377864
110.54523084892834, 8764943798.478668
120.64171469274108, 10929394148.779808
130.73560836625012, 13547837171.508972
140.71812471670017, 13016724965.025757
150.6902803859354, 12213529863.510538
